league_id,league_name,season_id,season,game_id,gamedate,team_id,team_name,goals,penalty,result
9,Premier League,333,2016-2017,75996,2017-01-22 07:00:00.000,2108,Southampton,3,NULL,1
9,Premier League,333,2016-2017,75997,2017-01-21 10:00:00.000,562,Manchester United,1,NULL,2
9,Premier League,333,2016-2017,75997,2017-01-21 10:00:00.000,578,Stoke,1,NULL,2
9,Premier League,333,2016-2017,75998,2017-01-21 10:00:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,75998,2017-01-21 10:00:00.000,665,West Bromwich,2,NULL,1
9,Premier League,333,2016-2017,75999,2017-01-31 14:45:00.000,2139,Crystal Palace,2,NULL,1
9,Premier League,333,2016-2017,75999,2017-01-31 14:45:00.000,2276,AFC Bournemouth,0,NULL,0
9,Premier League,333,2016-2017,76000,2017-01-31 14:45:00.000,2275,Watford,2,NULL,1
9,Premier League,333,2016-2017,76000,2017-01-31 14:45:00.000,569,Arsenal,1,NULL,0
9,Premier League,333,2016-2017,76001,2017-01-31 14:45:00.000,2198,Leicester City,0,NULL,0
9,Premier League,333,2016-2017,76001,2017-01-31 14:45:00.000,2199,Burnley,1,NULL,1
9,Premier League,333,2016-2017,76002,2017-01-31 14:45:00.000,564,Tottenham,0,NULL,2
9,Premier League,333,2016-2017,76002,2017-01-31 14:45:00.000,575,Sunderland,0,NULL,2
9,Premier League,333,2016-2017,76003,2017-01-31 14:45:00.000,2108,Southampton,1,NULL,0
9,Premier League,333,2016-2017,76003,2017-01-31 14:45:00.000,675,Swansea,2,NULL,1
9,Premier League,333,2016-2017,76004,2017-02-01 14:45:00.000,573,Manchester City,4,NULL,1
9,Premier League,333,2016-2017,76004,2017-02-01 14:45:00.000,571,West Ham United,0,NULL,0
9,Premier League,333,2016-2017,76005,2017-02-01 15:00:00.000,2138,Hull City,0,NULL,2
9,Premier League,333,2016-2017,76005,2017-02-01 15:00:00.000,562,Manchester United,0,NULL,2
9,Premier League,333,2016-2017,76006,2017-01-31 15:00:00.000,580,Chelsea,1,NULL,2
9,Premier League,333,2016-2017,76006,2017-01-31 15:00:00.000,565,Liverpool,1,NULL,2
9,Premier League,333,2016-2017,76007,2017-02-01 15:00:00.000,568,Everton,1,NULL,2
9,Premier League,333,2016-2017,76007,2017-02-01 15:00:00.000,578,Stoke,1,NULL,2
9,Premier League,333,2016-2017,76008,2017-02-04 07:30:00.000,569,Arsenal,1,NULL,0
9,Premier League,333,2016-2017,76008,2017-02-04 07:30:00.000,580,Chelsea,3,NULL,1
